Año,CodClasificaciónEconómica,ClasificaciónEconómica,CodClasificaciónFuncional,Millones Euros
1995,D.1,Remuneración de asalariados,01.1,2175.0
1995,P.2,Consumos intermedios,01.1,959.0
1995,D.29,Otros impuestos sobre la producción,01.1,5.0
1995,D.3,Subvenciones,01.1,0.0
1995,D.4,Rentas de la propiedad,01.1,0.0
1995,D.51,Impuestos corrientes sobre la renta…a pagar,01.1,0.0
1995,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,01.1,0.0
1995,D.632,Transferencias sociales en especie: producción adquirida en el mercado,01.1,0.0
1995,D.7,Otras transferencias corrientes,01.1,3331.0
1995,D.8,Ajustes por la variación de los derechos por pensiones,01.1,0.0
1995,P.5,Formación bruta de capital,01.1,277.0
1995,NP, Adquisiciones menos cesiones de activos no financieros no producidos,01.1,-3.0
1995,D.9," Transferencias de capital, a pagar",01.1,53.0
1995,D.1,Remuneración de asalariados,01.2,11.0
1995,P.2,Consumos intermedios,01.2,19.0
1995,D.29,Otros impuestos sobre la producción,01.2,0.0
1995,D.3,Subvenciones,01.2,0.0
1995,D.4,Rentas de la propiedad,01.2,0.0
1995,D.51,Impuestos corrientes sobre la renta…a pagar,01.2,0.0
1995,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,01.2,0.0
1995,D.632,Transferencias sociales en especie: producción adquirida en el mercado,01.2,0.0
1995,D.7,Otras transferencias corrientes,01.2,265.0
1995,D.8,Ajustes por la variación de los derechos por pensiones,01.2,0.0
1995,P.5,Formación bruta de capital,01.2,3.0
1995,NP, Adquisiciones menos cesiones de activos no financieros no producidos,01.2,0.0
1995,D.9," Transferencias de capital, a pagar",01.2,46.0
1995,D.1,Remuneración de asalariados,01.3,2165.0
1995,P.2,Consumos intermedios,01.3,981.0
1995,D.29,Otros impuestos sobre la producción,01.3,3.0
1995,D.3,Subvenciones,01.3,0.0
1995,D.4,Rentas de la propiedad,01.3,2.0
1995,D.51,Impuestos corrientes sobre la renta…a pagar,01.3,0.0
1995,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,01.3,0.0
1995,D.632,Transferencias sociales en especie: producción adquirida en el mercado,01.3,0.0
1995,D.7,Otras transferencias corrientes,01.3,64.0
1995,D.8,Ajustes por la variación de los derechos por pensiones,01.3,0.0
1995,P.5,Formación bruta de capital,01.3,552.0
1995,NP, Adquisiciones menos cesiones de activos no financieros no producidos,01.3,6.0
1995,D.9," Transferencias de capital, a pagar",01.3,69.0
1995,D.1,Remuneración de asalariados,01.4,589.0
1995,P.2,Consumos intermedios,01.4,211.0
1995,D.29,Otros impuestos sobre la producción,01.4,0.0
1995,D.3,Subvenciones,01.4,43.0
1995,D.4,Rentas de la propiedad,01.4,0.0
1995,D.51,Impuestos corrientes sobre la renta…a pagar,01.4,0.0
1995,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,01.4,0.0
1995,D.632,Transferencias sociales en especie: producción adquirida en el mercado,01.4,0.0
1995,D.7,Otras transferencias corrientes,01.4,42.0
1995,D.8,Ajustes por la variación de los derechos por pensiones,01.4,0.0
1995,P.5,Formación bruta de capital,01.4,1218.0
1995,NP, Adquisiciones menos cesiones de activos no financieros no producidos,01.4,0.0
1995,D.9," Transferencias de capital, a pagar",01.4,35.0
1995,D.1,Remuneración de asalariados,01.5,37.0
1995,P.2,Consumos intermedios,01.5,14.0
1995,D.29,Otros impuestos sobre la producción,01.5,0.0
1995,D.3,Subvenciones,01.5,0.0
1995,D.4,Rentas de la propiedad,01.5,0.0
1995,D.51,Impuestos corrientes sobre la renta…a pagar,01.5,0.0
1995,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,01.5,0.0
1995,D.632,Transferencias sociales en especie: producción adquirida en el mercado,01.5,0.0
1995,D.7,Otras transferencias corrientes,01.5,0.0
1995,D.8,Ajustes por la variación de los derechos por pensiones,01.5,0.0
1995,P.5,Formación bruta de capital,01.5,91.0
1995,NP, Adquisiciones menos cesiones de activos no financieros no producidos,01.5,0.0
1995,D.9," Transferencias de capital, a pagar",01.5,0.0
1995,D.1,Remuneración de asalariados,01.6,5.0
1995,P.2,Consumos intermedios,01.6,187.0
1995,D.29,Otros impuestos sobre la producción,01.6,0.0
1995,D.3,Subvenciones,01.6,0.0
1995,D.4,Rentas de la propiedad,01.6,0.0
1995,D.51,Impuestos corrientes sobre la renta…a pagar,01.6,0.0
1995,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,01.6,0.0
1995,D.632,Transferencias sociales en especie: producción adquirida en el mercado,01.6,0.0
1995,D.7,Otras transferencias corrientes,01.6,4.0
1995,D.8,Ajustes por la variación de los derechos por pensiones,01.6,0.0
1995,P.5,Formación bruta de capital,01.6,0.0
1995,NP, Adquisiciones menos cesiones de activos no financieros no producidos,01.6,0.0
1995,D.9," Transferencias de capital, a pagar",01.6,0.0
1995,D.1,Remuneración de asalariados,01.7,0.0
1995,P.2,Consumos intermedios,01.7,750.0
1995,D.29,Otros impuestos sobre la producción,01.7,0.0
1995,D.3,Subvenciones,01.7,0.0
1995,D.4,Rentas de la propiedad,01.7,22740.0
1995,D.51,Impuestos corrientes sobre la renta…a pagar,01.7,0.0
1995,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,01.7,0.0
1995,D.632,Transferencias sociales en especie: producción adquirida en el mercado,01.7,0.0
1995,D.7,Otras transferencias corrientes,01.7,0.0
1995,D.8,Ajustes por la variación de los derechos por pensiones,01.7,0.0
1995,P.5,Formación bruta de capital,01.7,0.0
1995,NP, Adquisiciones menos cesiones de activos no financieros no producidos,01.7,0.0
1995,D.9," Transferencias de capital, a pagar",01.7,0.0
1995,D.1,Remuneración de asalariados,01.8,0.0
1995,P.2,Consumos intermedios,01.8,0.0
1995,D.29,Otros impuestos sobre la producción,01.8,0.0
1995,D.3,Subvenciones,01.8,0.0
1995,D.4,Rentas de la propiedad,01.8,0.0
1995,D.51,Impuestos corrientes sobre la renta…a pagar,01.8,0.0
1995,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,01.8,0.0
1995,D.632,Transferencias sociales en especie: producción adquirida en el mercado,01.8,0.0
1995,D.7,Otras transferencias corrientes,01.8,0.0
1995,D.8,Ajustes por la variación de los derechos por pensiones,01.8,0.0
1995,P.5,Formación bruta de capital,01.8,0.0
1995,NP, Adquisiciones menos cesiones de activos no financieros no producidos,01.8,0.0
1995,D.9," Transferencias de capital, a pagar",01.8,0.0
1995,D.1,Remuneración de asalariados,02.1,3523.0
1995,P.2,Consumos intermedios,02.1,626.0
1995,D.29,Otros impuestos sobre la producción,02.1,1.0
1995,D.3,Subvenciones,02.1,0.0
1995,D.4,Rentas de la propiedad,02.1,1.0
1995,D.51,Impuestos corrientes sobre la renta…a pagar,02.1,0.0
1995,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,02.1,0.0
1995,D.632,Transferencias sociales en especie: producción adquirida en el mercado,02.1,0.0
1995,D.7,Otras transferencias corrientes,02.1,16.0
1995,D.8,Ajustes por la variación de los derechos por pensiones,02.1,0.0
1995,P.5,Formación bruta de capital,02.1,1387.0
1995,NP, Adquisiciones menos cesiones de activos no financieros no producidos,02.1,0.0
1995,D.9," Transferencias de capital, a pagar",02.1,0.0
1995,D.1,Remuneración de asalariados,02.2,0.0
1995,P.2,Consumos intermedios,02.2,0.0
1995,D.29,Otros impuestos sobre la producción,02.2,0.0
1995,D.3,Subvenciones,02.2,0.0
1995,D.4,Rentas de la propiedad,02.2,0.0
1995,D.51,Impuestos corrientes sobre la renta…a pagar,02.2,0.0
1995,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,02.2,0.0
1995,D.632,Transferencias sociales en especie: producción adquirida en el mercado,02.2,0.0
1995,D.7,Otras transferencias corrientes,02.2,0.0
1995,D.8,Ajustes por la variación de los derechos por pensiones,02.2,0.0
1995,P.5,Formación bruta de capital,02.2,0.0
1995,NP, Adquisiciones menos cesiones de activos no financieros no producidos,02.2,0.0
1995,D.9," Transferencias de capital, a pagar",02.2,0.0
1995,D.1,Remuneración de asalariados,02.3,0.0
1995,P.2,Consumos intermedios,02.3,108.0
1995,D.29,Otros impuestos sobre la producción,02.3,0.0
1995,D.3,Subvenciones,02.3,0.0
1995,D.4,Rentas de la propiedad,02.3,0.0
1995,D.51,Impuestos corrientes sobre la renta…a pagar,02.3,0.0
1995,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,02.3,0.0
1995,D.632,Transferencias sociales en especie: producción adquirida en el mercado,02.3,0.0
1995,D.7,Otras transferencias corrientes,02.3,10.0
1995,D.8,Ajustes por la variación de los derechos por pensiones,02.3,0.0
1995,P.5,Formación bruta de capital,02.3,0.0
